X,Y,OBJECTID,FacilityMasterID,FacilityName,Category,CategoryStyle,SiteStreet,SiteCity,SiteTelephone,WorkArea
-80.4800180678899,43.4345059598672,11495,293B4FBE-1563-48AC-AFE9-9ACEC2463DC0,MURRAYS MILLWOOD MANOR,"Food, Institutional",Group / Lodging Home (>9),409 MILL ST,Kitchener,(519) 745-9901,IPAC C
-80.4392556975508,43.4244859348789,11496,4C416646-321D-4B1F-AE65-A37D9CC9BEFE,CINNABON,"Food, General",Baked Goods - Retail,2960 KINGSWAY DRIVE,Kitchener,(519) 895-8484,CK3
-80.4809351945151,43.413935522374,11499,5D92984F-DE4D-4E6E-BFED-71FB50BFFBAD,Mario's 2 For 1 Pizza,"Food, General",Restaurant,700 STRASBURG RD,Kitchener,(519) 571-7373,KW6
-80.3180669006111,43.3585717874218,11501,69E912DD-2285-49F5-991E-1158A474EA00,TENDER LOVING DAY CARE,"Food, Institutional",Child Care Onsite Prep./Recreational Camp/Co-op,2 GRAND Ave S,Cambridge,(519) 740-2442,CK7
-80.5332671579536,43.4550070534527,11502,B53556EC-6DBF-49C0-9F13-7B935E71D1CC,YWCA-Empire Public School- YDP,"Food, Institutional",Before and After School Program,83 Empire  St,Waterloo,(519) 742-8375,KW1
-80.5100522374687,43.4625514484267,11503,D327DA60-F10D-400F-8E69-9B1ED624D167,CE FOOD EXPERIENCE,"Food, General",Bakery - Production,136 Moore Ave S,Waterloo,(519) 635-5080,KW1
-80.570614850975,43.6041610284101,11504,C1470ECB-57EB-4DCE-B26E-92144C43A92E,ELMIRA COMMUNITY NURSERY SCHOOL,"Food, Institutional",Child Care Onsite Prep./Recreational Camp/Co-op,250 William St,Elmira,(519) 669-2609,KW8
-80.5546990252514,43.5120233349754,11506,54056202-1160-4F01-8414-4D01DE3B80E2,SJFM-PEROGIE PALACE,"Food, General",Food Take Out,878 WEBER ST N,Woolwich,,KW8
-80.5273034436851,43.498191063434,11507,3D618F27-55B9-4AC1-A677-FDADF08E28DB,Laura Secord,"Food, General",Food Take Out,550 King ST N,Waterloo,(519) 885-3730,KW16
-80.4849771149096,43.4471698364975,11509,87E1A65B-95EE-4FD9-88AD-A266F68D2AF1,PUPUSERIA LATINOS RESTAURANT,"Food, General",Restaurant,25 EBY ST S,Kitchener,(519) 743-7985,KW3
-80.5247070345528,43.4649273956887,11511,6ABCF9EC-33EC-4997-B16A-9D618063E21D,Knox Presbyterian Church,"Food, General",Church Kitchen Facility,50 Erb St W,Waterloo,(519) 886-4150,KW13
-80.5546990252514,43.5120233349754,11513,0D641750-A5C3-4816-BC12-CC387095FB03,SJFM-COUNTRY STYLE BAKERY (Main Building),"Food, General",Baked Goods - Retail,878 WEBER ST N,Woolwich,(519) 656-2992,KW8
-80.4955088732944,43.4546680937738,11515,61EEFD19-8A84-4DC3-A253-44F1AFA0C7F9,"CAKE BOX, THE","Food, General",Baked Goods - Retail,70 Victoria St N,Kitchener,(519) 579-6230,KW5
-80.4893588044753,43.449305529438,11516,1F0AAA88-E11A-4CD7-90AD-999C265CAB2D,Darlise Cafe,"Food, General",Restaurant,33 Queen St S,Kitchener,(226) 247-9100,KW3
-80.4959805037083,43.4661010989208,11517,0CC50435-7290-4AA3-A9C5-47EA7BF351C4,BREITHAUPT CENTRE SNACK BAR,"Food, General",Snack Bar / Refreshment Stand,350 MARGARET Ave,Kitchener,(519) 741-2505,KW5
-80.5001204157677,43.4751865861167,11518,AD3183F2-C6C3-43C7-9728-B531DA213B75,NUTRITION FOR LEARNING - BLUEVALE COLLEGIATE,"Food, Institutional",Nourishment Program,80 Bluevale St N,Waterloo,(519) 885-4620,KW2
-80.5167779468936,43.457771732399,11521,4276D824-958B-4C67-A4FD-E9AF3B427473,STARBUCKS COFFEE,"Food, General",Food Take Out,227 KING ST S,Waterloo,(519) 888-3479,KW1
-80.2876477503735,43.4118584827048,11522,426C5C74-2529-427D-A855-F1F0956BA4A8,ELITE DAYCARE,"Food, Institutional",Child Care Onsite Prep./Recreational Camp/Co-op,445 THOMPSON Dr,Cambridge,(519) 621-2323,CK6
-80.5614189023973,43.5801801785164,11524,0455EF6C-FAAF-4DF5-95B4-060D76727AF1,Petro-Canada,"Food, General",Food store convenience / Variety,110 Earl Martin Dr,Elmira,(519) 669-9797,KW8
-80.500629180384,43.4049367741268,11525,7A8E177B-D59F-4137-A224-8462A003C0F5,DOMINO'S PIZZA,"Food, General",Food Take Out,325 MAX BECKER DR,Kitchener,(519) 749-0120,KW6
-80.4894833240466,43.4491980529026,11526,5F874B26-5A1B-45D7-AB14-F090670BDE54,EBYTOWN FOOD CO-OP,"Food, General",Food Warehouse / Depot,43 QUEEN ST S,Kitchener,(519) 745-1313,KW3
-80.5273034436851,43.498191063434,11528,801834A7-2FE9-4F26-A641-94A0A2497998,MR. PRETZELS,"Food, General",Baked Goods - Retail,550  KING ST N,Waterloo,(519) 884-4267,KW16
-80.52306210931,43.4665953704958,11530,855E099B-DC83-44D8-900E-DB77E4A41B14,MY THAI RESTAURANT,"Food, General",Restaurant,51 KING ST N,Waterloo,(519) 954-8424,KW13
-80.5124517206954,43.438042781858,11531,B56D54E6-E9F3-41ED-B48F-B5DF67BB8DC9,GINO'S PIZZA,"Food, General",Restaurant,370 HIGHLAND RD W,Kitchener,(519) 745-5900,KW7
-80.357602211277,43.3952271740145,11535,B35B5A87-839F-4B8F-B603-F6A5A79CFF73,CAMBRIDGE RESTAURANT,"Food, General",Restaurant,752 KING ST E,Cambridge,(519) 653-4455,CK2
-80.5281557331034,43.4743641631454,11536,8D4CFC18-A39A-4ABA-B87F-61FFD6EE9452,WLU - Subway (Bricker Academic),"Food, General",Restaurant,75 UNIVERSITY Ave W,Waterloo,,KW13
-80.4886568743557,43.4216839541367,11539,FFEAB825-6308-4201-A451-136DDC0A61A8,TIM HORTONS,"Food, General",Restaurant,795 OTTAWA ST S,Kitchener,(519) 749-0821,KW6
-80.5486445046556,43.4549754241684,11540,063AA598-92A5-4CA6-AB9E-112F3B3F52E6,WATERLOO INFANT TODDLER DAY CARE,"Food, Institutional",Child Care Onsite Prep./Recreational Camp/Co-op,368 ERB ST W,Waterloo,(519) 746-7510,KW1
-80.5392398133287,43.4721737193341,11541,3DDF9D51-D6C2-4E19-906F-097B8B96B2E8,PITA FACTORY,"Food, General",Restaurant,170 UNIVERSITY Ave W,Waterloo,(519) 884-2809,KW15
-80.5218899772149,43.4647356018592,11542,58E1228C-CBFB-4403-BF68-8E0E29192962,LillyPad Health,"Food, General",Food store convenience / Variety,22 King St S,Waterloo,(226) 476-1763,KW1
-80.5724097600201,43.5212093271152,11543,96F12158-B3CF-46D8-835F-7062A0E389B4,"POULTRY PLACE, THE","Food, General",Food Warehouse / Depot,1110 THREE BRIDGES RD,Woolwich,(519) 664-3090,KW10
-80.500629180384,43.4049367741268,11545,F7F53D2F-17E3-43E0-BC94-321281233B0A,Peking Gourmet,"Food, General",Restaurant,325 Max Becker Dr,Kitchener,(519) 569-8688,KW6
-80.5546990252514,43.5120233349754,11548,F5D63E9C-7A28-4259-A8E7-92607818052E,SJFM-REYES FARMS (OUTDOOR VENDOR),"Food, General",Produce Vendor,878 Weber St N,Woolwich,(289) 213-3327,KW10
-80.3897987333991,43.5122610792099,11550,94047C68-6340-4B14-A640-F32D7D5F4522,MERRY-HILL GOLF CLUB,"Food, General",Restaurant,2321 SHANTZ STATION RD,Woolwich,(519) 648-2804,KW2
-80.398522497241,43.3558597661533,11558,EFE6BCF2-73B5-408D-A0B2-7F20D8F3197C,GRAND VALLEY COUNTRY CLUB,"Food, General",Restaurant,1910 ROSEVILLE RD,North Dumfries,(519) 623-8811,CK2
-80.3266484502787,43.3979088717868,11559,7A1E1A08-20D0-46A9-9203-44CD88151406,TWICE THE DEAL PIZZA,"Food, General",Food Take Out,480 HESPELER RD,Cambridge,(519) 623-2222,CK2
-80.5274512210097,43.44014285124,11565,41FBD9EE-FED9-4FF9-8E5A-C229C7D08157,LUCKY GARDEN RESTAURANT,"Food, General",Restaurant,101 HAZELGLEN DR,Kitchener,(519) 743-8152,KW7
-80.551106080898,43.4875538871117,11566,793B9794-D1E5-4CA1-8BF2-0CD356469F1A,NUTRITION FOR LEARNING - CEDARBRAE PUBLIC SCHOOL,"Food, Institutional",Nourishment Program,230 CEDARBRAE Ave,Waterloo,(519) 884-4940,KW10
-80.445056995561,43.4330455701847,11569,0B8D7CA0-11C9-43EC-97F2-844E1CE435B0,TIM HORTONS,"Food, General",Restaurant,1241 WEBER St E,Kitchener,(519) 894-0170,KW3
-80.7144435200045,43.3814608656552,11570,3C5CD4FB-E4A0-4F27-923F-A337451DA6B7,WILMOT FAMILY RESOURCE CENTRE DROP IN CHILD CARE CENTRE,"Food, Institutional",Child Care Onsite Prep./Recreational Camp/Co-op,175 WATERLOO ST,New Hamburg,(519) 662-2731,KW4
-80.5050686607838,43.4353486562622,11573,07EF52F4-234E-4253-8F41-7B9F962DCD79,PIONEER YOUTH SERVICES - QUEEN'S BLVD,"Food, Institutional",Group / Lodging Home (>9),1097 QUEEN'S BLVD,Kitchener,(519) 569-7219,KW4
-80.5546990252514,43.5120233349754,11575,FE563230-3400-4082-A330-8C493F7A02EF,SJFM-Soloman Martin (Sunny Slopes Farms),"Food, General",Produce Vendor,878 Weber St N,Woolwich,(519) 664-1471,KW10
-80.4344181896065,43.4296681641383,11576,4850096A-AFCF-4236-8773-00FEAE13B1B8,PIZZA HUT,"Food, General",Restaurant,2934 King Street East,Kitchener,(519) 748-2702,KW14
-80.4849037212124,43.4510128164807,11577,EC48975E-C181-4A1C-9264-8E24B8F59A91,DELI WORKS - PARTY SOLUTIONS,"Food, General",Workplace Cafeteria,40 WEBER ST E,Kitchener,(519) 579-0777,KW11
-80.5191038812906,43.4777801473304,11579,35EA459C-C884-48BB-A971-7AAC6B4BB0B6,DAIRY QUEEN,"Food, General",Restaurant,238 WEBER ST N,Waterloo,(519) 746-7868,KW16
-80.3253335428004,43.402181944228,11580,DA075161-8B1E-40F6-B0F2-A4217DA19078,DOLLARAMA,"Food, General",Food store convenience / Variety,551 HESPELER RD,Cambridge,(519) 621-7443,CK6
-80.4422916273597,43.408427673117,11589,61C45D0D-F23B-41E7-958C-6F4863102575,ITALIAN CORTINA CLUB,"Food, General",Snack Bar / Refreshment Stand,22 KEVCO PL,Kitchener,(519) 894-3852,CK4
-80.3578918856324,43.4542976235512,11592,7C27DB75-1495-4605-93CA-9F20B6D817AF,CAMBRIDGE COUNTRY MANOR,"Food, Institutional",Long Term Care,3680 SPEEDSVILLE RD,Cambridge,(519) 650-0100,IPAC B
-80.5249977486395,43.5051418410089,11596,72A87894-99F4-42E6-BC76-5FBC018E1A02,NORTHFIELD MINI MART,"Food, General",Food store convenience / Variety,150 WISSLER RD,Waterloo,(519) 746-2630,KW16
-80.4878389939588,43.4508095919726,11597,BACED870-13F0-4332-93EA-9E4131A4C200,HOLY GUACAMOLE,"Food, General",Restaurant,14 DUKE ST E,Kitchener,(519) 513-2495,KW11
-80.5971788775657,43.4697214623831,11599,E0B6915C-00A8-4007-B75F-3CE4F87A5DB0,OWL CHILD CARE ABRAHAM ERB YOUTH DEVELOPMENT PROGRAM,"Food, Institutional",Before and After School Program,710 LAURELWOOD DR,Waterloo,(519) 894-0581,KW12
-80.5114978531019,43.4369254291765,11601,D9CE47B0-4CF7-4F8F-8DBE-47F226E4EA4D,GLOGOWSKI EURO FOOD,"Food, General",Supermarket,403 HIGHLAND RD W,Kitchener,(519) 584-7190,KW7
-80.5546990252514,43.5120233349754,11602,8BA3369B-9C97-45F8-935F-F2C59B27CF8C,SJFM - A Taste of Greece (Peddlers Village),"Food, General",Food Take Out,878 WEBER ST N,Woolwich,(519) 741-8273,KW10
-80.3008148261307,43.3910842038801,11603,921E2145-FA16-4293-A503-498FF3DB6B8E,SUBWAY,"Food, General",Restaurant,95 SAGINAW PKY,Cambridge,(519) 624-8993,CK1
-80.2856200036491,43.405691137226,11605,22CA9E11-1AC0-49BC-A505-1A5A259233A4,Symposium Cafe,"Food, General",Restaurant,500 Can Amera Pky,Cambridge,(519) 621-8878,CK6
-80.4149163256519,43.4425322843809,11606,1A9D8F26-1537-4779-8A0A-D1933508FFBF,UPPER VILLAGE MARKET & BAKERY,"Food, General",Food store convenience / Variety,900 FAIRWAY CRES,Kitchener,(519) 748-1000,KW14
-80.522088570173,43.4614858071283,11609,E5A9441A-1B9F-469D-B181-8AE0B3D35F88,Bailey's Local Foods,"Food, General",Food Warehouse / Depot,16 William St  W,Waterloo,(519) 580-1745,KW1
-80.4473768063696,43.3984291154797,11612,470710A4-44E9-4C02-A11C-02352C7E7C6A,Circle K,"Food, General",Food store convenience / Variety,585 DOON VILLAGE RD,Kitchener,(519) 748-1343,CK4
-80.3084767180293,43.3528714188461,11614,0147964A-C0AD-45F8-9A18-A5BAE08FCD0C,MAPLE CONVENIENCE,"Food, General",Food store convenience / Variety,63 ELLIOTT ST,Cambridge,(519) 622-2310,CK5
-80.3241479985241,43.4182943191346,11615,2C52DCE8-AE81-4DE6-B348-3F523D18DE0C,SHOPPERS DRUG MART,"Food, General",Food store convenience / Variety,101 HOLIDAY INN DR,Cambridge,(519) 658-2860,CK6
-80.3277304221695,43.4084696199953,11619,A3847BB2-C962-4063-BD34-8E602952F93F,PETRO-CANADA,"Food, General",Food store convenience / Variety,671 HESPELER RD,Cambridge,(519) 623-2321,CK6
-80.290316513017,43.3568659189617,11622,3E445F45-D404-4944-A0AD-A4AB19A145CF,SWISS CHALET PLUS,"Food, General",Restaurant,101 DUNDAS ST S,Cambridge,(519) 624-9595,CK5
-80.4600999315045,43.4651358237305,11627,899EE3C3-E0D2-4007-9BBC-B672F75B878A,K-W Import & Wholesale,"Food, General",Food store convenience / Variety,1031 Victoria ST N,Kitchener,(519) 503-3983,KW2
-80.5141591695094,43.4481912033861,11629,79099284-3EEE-424B-9A09-8B08567594B0,ROYAL CANADIAN LEGION,"Food, General",Banquet Hall,524 BELMONT Ave W,Kitchener,(519) 745-5101,KW7
-80.4315328313406,43.4285544942653,11630,955E22E6-596A-4909-B1E2-A2A29741DCED,LITTLE SHORT STOP,"Food, General",Food store convenience / Variety,3014 KING ST E,Kitchener,(519) 893-2221,KW14
-80.3445333265499,43.3967728021324,11631,C3DC77EE-E78E-4636-9077-C6B8AD6613BC,William E. Pautler Centre,"Food, General",Workplace Cafeteria,1145 Concession RD,Cambridge,(519) 740-4681,CK2
-80.534437234093,43.50206253185,11632,9E2976A5-3745-434A-9F73-736244596219,EDIBLE ARRANGEMENTS,"Food, General",Caterer / Commissary,583 KING ST N,Waterloo,(519) 725-9800,KW16
-80.5257436351902,43.4769538247903,11633,3ED71DB3-4C7D-4710-980F-36B35D4216F7,Freshii,"Food, General",Restaurant,255 King St N,Waterloo,(519) 500-0208,KW13
-80.4409212891267,43.4608382018803,11640,0FE350DE-D400-4AF7-8D99-2291A7DCF901,Nisha's Kitchen,"Food, General",Restaurant,200 Lorraine Ave,Kitchener,(519) 208-0142,KW2
-80.5405991528461,43.4754824203196,11641,38C97651-7064-43F1-B008-C2DE969AF50B,UW - EAST END CAFE,"Food, General",Restaurant,305 PHILLIP ST,Waterloo,(519) 888-4567,KW15
-80.4525223626604,43.4746714247917,11642,436DA222-859B-4269-A058-255B823148CA,BOSTON PIZZA FOOD TRUCK,"Food, Mobile Vendor",Catering Vehicle,425 BINGEMANS CENTRE DRIVE,Kitchener,(519) 744-1555,KW5
-80.5552515789679,43.5055975221914,11643,4150BB80-9E00-4DF7-8C0F-ED4EDDFEB4A9,WATERLOO NORTH MENNONITE CHURCH,"Food, General",Church Kitchen Facility,100 BENJAMIN RD,Woolwich,(519) 888-6113,KW10
-80.483563938093,43.4480956729607,11646,9FA624CF-9DA6-4B5E-B386-523EA3A1A4F9,NKFM-Ackroyd's Honey Inc.,"Food, General",Food Take Out,300 King St E,Kitchener,(519) 934-0006,KW11
-80.3153716546694,43.4416204569379,11648,DAAB2EDA-3938-451C-9DB5-E671A45D193C,SILVERHEIGHTS DAY CARE (CONESTOGA COLLEGE),"Food, Institutional",Child Care Onsite Prep./Recreational Camp/Co-op,390 SCOTT RD,Cambridge,(519) 654-2227,KW14
-80.3802558485455,43.5032226691121,11650,BF815F64-FE25-4256-87F8-7D1605C3322F,PIONEER GAS BAR,"Food, General",Food store convenience / Variety,2900 VICTORIA ST N,Woolwich,(519) 648-9411,KW14
-80.5392398133287,43.4721737193341,11652,FC98A5DC-8FEA-4B3F-96C4-3055BACCA35B,SOWON RESTAURANT,"Food, General",Restaurant,170 UNIVERSITY AVE. W,Waterloo,(519) 208-5678,KW15
-80.5546990252514,43.5120233349754,11653,A458B154-73B1-4F45-A790-BBDD26CF903C,SJFM - HALENDA'S MEATS (MAIN BUILDING),"Food, General",Butcher Shop,878 WEBER ST N,Woolwich,(905) 576-6328,KW10
-80.7084185792502,43.3777254924709,11654,9E570BD5-DE91-4894-AEB9-65D118F27CCF,PUDDICOMBE BANQUET CENTRE,"Food, General",Banquet Hall,145 Peel St,New Hamburg,,IPAC C
-80.4984989789507,43.5215372695185,11655,8D1E9978-AB79-4FBD-B092-22FB426C1E36,Levetto,"Food, General",Restaurant,105 Oak Park Dr,Waterloo,(519) 884-5555,KW2
-80.3964960573849,43.4078740977448,11665,1F6C5DD1-2D83-472C-A512-2F8FB23C137D,Pita Pit,"Food, General",Restaurant,4336 KING ST E,Kitchener,(519) 219-7482,CK4
-80.3213841253902,43.3450310664128,11667,BC88E691-8C8B-40C0-9143-10826E2C34EE,J & B VARIETY,"Food, General",Food store convenience / Variety,139 GLENMORRIS ST,Cambridge,(519) 623-6951,CK7
-80.3313217591699,43.3815840647517,11669,1C4FD7D3-028B-4742-9D1E-4489A1F4DF8A,Coronation Early Learning Centre,"Food, Institutional",Child Care Onsite Prep./Recreational Camp/Co-op,765 Coronation Blvd,Cambridge,(519) 277-2265,CK1
-80.4906295978554,43.4304110785224,11672,D06D6747-30C5-4EE6-AF4C-C8D7ACCC313A,CONESTOGA LODGE,"Food, Institutional",Retirement Home,55 HUGO CRES,Kitchener,(519) 576-2140,IPAC C
-80.4613660414508,43.4561149756384,11676,F1B23F34-A4FA-4F02-A477-C006E9300112,KING WOK CHINESE FOOD,"Food, General",Restaurant,501 KRUG ST,Kitchener,(519) 570-0808,KW11
-80.5546990252514,43.5120233349754,11679,D29E1AB4-19B2-41DC-875B-F4FEF82E65CF,SJFM - ACKROYDS HONEY (OUTDOOR BOOTH),"Food, General",Food store convenience / Variety,878 WEBER ST N,Woolwich,(519) 934-0006,KW10
-80.5222170584013,43.4767312798131,11680,2033878F-BF1C-4C69-B1ED-DC3C1A4492BD,Maxwells Concerts and Events,"Food, General",Restaurant,35 University Ave E,Waterloo,(519) 498-5705,KW16
-80.3133842605818,43.3601680723823,11681,1353BA38-02D5-432A-98E8-34A21DA80B95,CFM - THAMES RIVER MELONS,"Food, General",Produce Vendor,40 DICKSON ST,Cambridge,(519) 469-3636,CK5
-80.2909377796026,43.3573043433192,11683,1F3EEB3E-6B62-442D-8BB2-EE2D60F86C52,TIM HORTONS,"Food, General",Restaurant,31 DUNDAS ST S,Cambridge,(519) 622-1301,CK5
-80.3107240701973,43.4314574287566,11685,B285D7EB-EECE-4377-BE38-44615330B939,THE AGING OAK,"Food, General",Restaurant,3 Queen St E,Cambridge,(519) 260-7000,KW14
-80.7108062001232,43.3783807413942,11689,BE68626C-0672-4DFB-BBBF-E29B37BC7C83,IMPERIAL MARKET & EATERY,"Food, General",Restaurant,60 Huron Street,New Hamburg,(226) 989-8114,KW4
-80.31060491799,43.4312052363733,11690,607C70B2-314E-4F21-A6A5-8ED8D41E2B33,CREME CAFE,"Food, General",Restaurant,2 QUEEN ST E,Cambridge,(519) 260-2227,CK6
-80.5171220777476,43.4457367902531,11691,1ABFAC4C-EF86-4909-9B42-496ADABFADA5,Salvation Army Mobile Kitchen,"Food, Mobile Vendor",Mobile Preparation Premises,300 Gage Ave,Kitchener,(519) 745-4215,KW7
-80.7073403099688,43.3791973336329,11693,CEFA77DF-CA1B-4AE6-AD1D-ABBB1F0E615F,SWEET CRAVINGS,"Food, General",Bakery - Production,160 ASMUS ST,New Hamburg,(519) 662-6732,KW4
-80.3095051842598,43.431207604557,11695,3B7CBD2B-CE58-41C4-B119-93387C2E08DD,HVM - HONEY ACRES,"Food, General",Produce Vendor,11 Tannery St E,Cambridge,(519) 220-1285,CK6
-80.4902470977211,43.4507082866934,11696,6E0EE5D7-CC2E-4603-88C2-769D03AEC4E7,TWO GOBLETS,"Food, General",Restaurant,22 Ontario N,Kitchener,(519) 749-1829,KW11
-80.4860775720201,43.4471027634297,11699,13F47644-188F-4E6D-B9FD-9F34B4BBF358,CHARLES STREET MEN'S HOSTEL,"Food, Institutional",Group / Lodging Home (>9),63 CHARLES ST E,Kitchener,(519) 742-8327,KW3
-80.534473275612,43.4729724157965,11700,76812959-B521-4B57-ABB9-5041549DB528,ONEZO TAPIOCA,"Food, General",Food Take Out,140 University Ave,Waterloo,(647) 632-8778,KW13
-80.5262481017619,43.4844551428601,11704,4767085A-6674-4D6C-98A3-DAC132F0E14A,SUBWAY,"Food, General",Restaurant,402 KING ST N,Waterloo,(519) 725-7827,KW10
-80.329561088618,43.4107789729834,11706,CC3212B9-4438-43CA-B804-2364B2F91EB5,BEST WESTERN PLUS,"Food, General",Restaurant,730 OLD HESPELER RD,Cambridge,(519) 623-4600,KW14
-80.3206606562809,43.3811240701018,11707,B12B95AE-96B3-4401-A531-B9DA98FC4CF0,COMMUNITY LIVING CAMBRIDGE - NORTH LODGE,"Food, Institutional",Group / Lodging Home (>9),162 HESPELER RD,Cambridge,(519) 623-7490,IPAC D
-80.4809351945151,43.413935522374,11708,9F90CA4D-94C2-4387-B17F-9903EB1A6FC8,DOLLAR TREE,"Food, General",Food store convenience / Variety,700 STRASBURG RD,Kitchener,(519) 745-9888,KW6
-80.4809351945151,43.413935522374,11710,CBEDB3A0-F90E-43E5-B851-0F6D181B92F3,Mary Brown's Chicken and Taters,"Food, General",Restaurant,700 Strasburg Rd,Kitchener,(519) 571-1110,KW6
-80.5213553402675,43.4651205625528,11711,A0103C9A-A368-4A16-92CF-5185E2003B08,PATENT SOCIAL,"Food, General",Cocktail Bar/ Nightclub,17 ERB ST E,Waterloo,(519) 208-4030,KW1
-80.5546990252514,43.5120233349754,11713,021E3ADE-DF6F-4241-B5D7-0E19236E2F79,SJFM-Johnson Farms,"Food, General",Produce Vendor,878 Weber St N,Woolwich,(519) 747-1830,KW8
-80.4899655466466,43.4491641954253,11715,A8DE85E5-01B7-4FA7-8C61-21BE713706B6,Maurita's Kitchen,"Food, General",Caterer / Commissary,58 Queen St S,Kitchener,(519) 743-1151,KW9
-80.3239568838544,43.4155970103394,11716,9A8B6607-DAAA-4F66-8157-AE03ED20872C,GINO'S PIZZA,"Food, General",Restaurant,180 HOLIDAY INN DR,Cambridge,(519) 651-0444,CK6
-80.4298383128881,43.4561541701746,11717,97150C8F-A1DF-4163-85E9-8B40FE079634,JUMBO DRAGON,"Food, General",Restaurant,1405 OTTAWA ST N,Kitchener,(519) 894-8788,KW14
-80.4392556975508,43.4244859348789,11718,90AA9146-7216-40B7-BE49-5E15A94387FE,BOURBON ST. GRILL,"Food, General",Food Take Out,2960 KINGSWAY DR,Kitchener,(519) 591-8699,CK3
-80.4318120972624,43.3346745899382,11719,FBC00069-ADA8-4807-B00E-BE585F87D62C,Flying J,"Food, General",Food Take Out,2492 Cedar Creek RD,North Dumfries,(519) 624-9578,CK2
-80.5164470279525,43.4254156957427,11721,466765B4-72DF-4B10-BCDD-E1583C43C255,YWCA St. Paul Childcare Centre,"Food, Institutional",Child Care Onsite Prep./Recreational Camp/Co-op,45 Birchcliff Ave,Kitchener,(519) 744-9980,KW4
-80.5402220947934,43.4691954775523,11723,804886CF-D158-4BAF-B832-16EA2A09A87F,UW - SUBWAY (SLC),"Food, General",Restaurant,200 UNIVERSITY Ave W,Waterloo,(519) 888-4567,KW15
-80.3038757812157,43.3929363238882,11726,7434C4EF-5051-44C9-BF75-120C7DCF6DC3,PAVAO MEATS & DELI,"Food, General",Butcher Shop,980 FRANKLIN BLVD,Cambridge,(519) 623-6806,CK1
